Player,Rating
Joelinton,6.99
Sean Longstaff,6.98
Youri Tielemans,6.98
Joseph Gomez,6.98
Marcus Rashford,6.98
Pablo Sarabia,6.98
Marc Cucurella,6.97
Raheem Sterling,6.97
Rayan Ait Nouri,6.97
Josh Brownhill,6.97
Wataru Endo,6.96
Mathias Jensen,6.95
Kobbie Mainoo,6.95
Jean-Philippe Mateta,6.95
Tomas Soucek,6.95
Emerson,6.94
Guglielmo Vicario,6.94
Mykhaylo Mudryk,6.94
Alphonse Areola,6.94
Jordan Pickford,6.94
Nicolás Dominguez,6.93
Ederson Moraes,6.93
Nélson Semedo,6.93
Ethan Pinnock,6.93
Pau Torres,6.93
Lewis Dunk,6.91
Chris Wood,6.91
Luis Sinisterra,6.91
Ola Aina,6.91
Daniel Burn,6.90
Emiliano Martinez,6.90
Max Kilman,6.90
Toti Gomes,6.90
Andreas Pereira,6.89
Igor,6.89
Moussa Diaby,6.89
Anthony Elanga,6.89
David Raya,6.88
Tom Cairney,6.88
Antoine Semenyo,6.88
Sander Berge,6.88
Scott McTominay,6.88
Craig Dawson,6.87
Timothy Castagne,6.86
Andre Onana,6.86
Wilson Odobert,6.86
Lucas Digne,6.86
Jonny Evans,6.85
Neco Williams,6.85
Fabian Schär,6.85
Jack Harrison,6.85
Ezri Konsa,6.85
Miguel Almiron,6.84
Chris Richards,6.84
Axel Disasi,6.84
Rodrigo Muniz,6.84
Antony,6.84
Rasmus Højlund,6.83
Takehiro Tomiyasu,6.83
Edson Álvarez,6.83
Danilo,6.82
Vinicius de Souza Costa,6.82
Ryan Gravenberch,6.81
Oliver Norwood,6.81
Harry Wilson,6.80
Dominic Calvert-Lewin,6.80
Marc Guehi,6.79
Dango Ouattara,6.79
Harvey Barnes,6.79
Oliver McBurnie,6.7
Calvin Bassey,6.79
Murillo,6.78
Will Hughes,6.78
Danny Welbeck,6.77
Carlton Morris,6.77
Matty Cash,6.77
Raphaël Varane,6.76
Billy Gilmour,6.75
Odsonne Edouard,6.75
Issa Kaboré,6.74
Djordje Petrovic,6.73
Vladimir Coufal,6.73
José Sá,6.73
Joel Veltman,6.72
Valentino Livramento,6.72
Adam Smith,6.71
Frank Onyeka,6.71
Alisson Becker,6.70
Jeffrey Schlupp,6.70
Justin Kluivert,6.70
Reece Burke,6.70
Kristoffer Vassbakk Ajer,6.69
Nathan Collins,6.69
Dara O'Shea,6.68
Jacob Bruun Larsen,6.68
Edward Nketiah,6.67
Raul Jiménez,6.67
Neto,6.67
Ashley Young,6.67
Lloyd Kelly,6.67
Thomas Doyle,6.67
Illia Zabarnyi,6.67
Johann Berg Gudmundsson,6.67
Mikkel Damsgaard,6.66
James Trafford,6.66
Christian Eriksen,6.65
Alex Scott,6.65
Philip Billing,6.65
Ryan Yates,6.64
Orel Mangala,6.64
Harry Toffolo,6.63
Keane Lewis-Potter,6.63
Lyle Foster,6.63
James McAtee,6.63
Sasa Lukic,6.62
Pierre-Emile Højbjerg,6.62
Bernd Leno,6.62
Rodrigo Bentancur,6.62
Charlie Taylor,6.62
Facundo Buonanotte,6.62
Michail Antonio,6.61
Martin Dubravka,6.61
Matt Doherty,6.61
Neal Maupay,6.61
Joel Ward,6.60
Harrison Reed,6.60
Curtis Jones,6.60
Bobby Reid,6.60
Zeki Amdouni,6.60
Elijah Adebayo,6.59
Jayden Bogle,6.59
Jordan Clark,6.58
Amari'i Bell,6.58
Mads Roerslev,6.58
Tahith Chong,6.57
Moussa Niakhaté,6.57
Mark Flekken,6.56
Nayef Aguerd,6.56
Sam Johnstone,6.56
Carlos Baleba,6.56
Andros Townsend,6.55
Milos Kerkez,6.54
Teden Mengi,6.54
Kurt Zouma,6.54
Bart Verbruggen,6.54
Evan Ferguson,6.52
Gabriel Osho,6.50
Cameron Archer,6.49
Jacob Brown,6.49
Jean-Ricner Bellegarde,6.48
Thomas Kaminski,6.47
Diego Carlos,6.45
Vitinho,6.44
Wesley Foderingham,6.44
Ben Osborn,6.43
Yegor Yarmolyuk,6.39
Jack Robinson,6.38
Beto,6.35
Andre Brooks,6.33
Adam Lallana,6.29
Nicolo Zaniolo,6.26
Auston Trusty,6.25
Pelly-Ruddock Mpanzu,6.21
Anel Ahmedhodzic,6.19
